archivo,tipo,origen,lineas,bytes,sha256
app/src/pantallas/admin/Registro.prueba.tsx,tsx,escrito,247,10200,029e9416fc132c65d279acccd0ed9cdcf8a07c0ee3492a652d72226a8d5861a7
app/src/pantallas/docente/Asistente.prueba.tsx,tsx,escrito,143,5640,8c4f8b2067221ae5ece3edcc42b5fe4ed5a08cfc89362d1d474595eafdee5199
app/src/pantallas/docente/Asistente.servidor.prueba.tsx,tsx,escrito,145,5645,30f4f24f146e4df5d5fdae7326ddf63098c887c512887a82e79a12bcb8dd3f99
app/src/pantallas/docente/Asistente.tsx,tsx,escrito,260,10915,6782b1fc56333d9fcabb56eae1656717c7d9dd71a4bfdac485a1a8a77dbdb000
app/src/pantallas/docente/InicioDocente.tsx,tsx,escrito,217,9405,c1c14a5995a101614722da90c117aa7c40c966213930b7098a30613e809d4a17
app/src/pantallas/docente/MaterialDocente.prueba.tsx,tsx,escrito,123,4649,94e151843d4d5a2dcf126698aa850778f761f56e98a02a3ef09af1ba0ffb3410
app/src/pantallas/docente/MaterialDocente.tsx,tsx,escrito,156,6533,3af28e2226fa726a6b39d9001aca9142f1e4e8dd5c9920225740f9755fcc4b7b
app/src/pantallas/docente/PerfilDocente.tsx,tsx,escrito,127,5297,5571544e798345966509a16a2234f1c3c774838debfd7bed2eafc9b4fd4aeba4
app/src/pantallas/docente/PlanMensual.tsx,tsx,escrito,196,7419,94a8a6710282af7c457f391c3424caeb2c34b12c61175fa9922f166ed6866d8c
app/src/pantallas/docente/RamoDocente.prueba.tsx,tsx,escrito,593,24423,ae68c1cff79ed06be64419ef6d2ea3ee231f29d5c1f787f9b34436dfd422baf6
app/src/pantallas/docente/RamoDocente.tsx,tsx,escrito,802,33647,ea0adac2d06abfb1a74f1646d39ec9e55036fb6586fbc24293dfcffef6c6d782
app/src/pantallas/propio/CargarHorario.tsx,tsx,escrito,163,5502,da422501a1f988af2f3529e388a9c70aa555bc170fdb058707bcf7f33d8fc955
app/src/pantallas/propio/NuevoMaterial.prueba.tsx,tsx,escrito,113,4572,94ac5dbf883138823b46e0c7437d90508b8c278e8d182d9f5597c7cd2779668d
app/src/pantallas/propio/NuevoMaterial.tsx,tsx,escrito,335,13551,eb161b40163e040569a397148155cb28a350b7c876d3d3e04ea4437768ba5425
app/src/pantallas/propio/NuevoRamo.tsx,tsx,escrito,82,2753,224f7eee96ea131a4a185ce718d7ee348dc7d895298a32a0990e0dd6036c90d2
app/src/pantallas/recien-creada.prueba.tsx,tsx,escrito,101,4148,4a6f52d019e2af9b77cc668f5c93acb9f50199574070a5fda9e219a57c2722e9
app/src/ui/Barrera.prueba.tsx,tsx,escrito,63,2582,6b2158dcfdc2c61055652de15b709a5dc619e5801d321556f91b0e7a4a419ea6
app/src/ui/Barrera.tsx,tsx,escrito,53,1734,4684144781b0ba74bd7ea8f462b744adad2d978a365d20ebd3e2ccdb91825715
app/src/ui/Icono.tsx,tsx,escrito,68,2122,5790181c8fc84bde2f68168a73c21f3f9ebb7d1b84a3170c95d9abd4285591db
app/src/ui/PanelTutor.tsx,tsx,escrito,118,4901,ebacdbc8193f552a77c705d61b79dc009723db9fccbf8ec9e70e7e16893a571b
app/src/ui/Pizarra.tsx,tsx,escrito,170,6188,c4a637b154f5c0cad5cd4f43eed07387e903a5d410fdb6c544a66362dc59866b
app/src/ui/ReportarIA.prueba.tsx,tsx,escrito,101,4055,8159072e76529d6ad1b6b6009cb89ce4df033552c88da17d192bf1ba715becc5
app/src/ui/ReportarIA.tsx,tsx,escrito,157,5917,682daa2e782d9737943708867ab2a758cc48b31df055c13263f47d309b533676
app/src/ui/componentes.prueba.tsx,tsx,escrito,47,1832,75a00fdbb3c52ed3f14149e8b5ae9f12e93cb649307f466a031944dbba4d9e8c
app/src/ui/componentes.tsx,tsx,escrito,395,13516,1ec49fbda6fc6d87d261a1b8c2acb2951b539688c2c6f324e7e80f17cf9f0f73
app/src/ui/margenes.prueba.tsx,tsx,escrito,70,2775,4b411eb127b40a46b2931752f105dfa9825196c345222ee9187dd66b507e0351
app/src/ui/navegacion.ts,ts,escrito,75,3026,05811c1bd352ab97280f1cbad78566060d5c3d1d27dca3ba5bee05d69a22983a
app/src/ui/tema.ts,ts,escrito,176,7824,1fec0026a1c1926e1c25b4bdf496e279d09cab1688c2146eef0aea2ec822be03
app/tsconfig.json,json,escrito,26,396,894ef9b8e01e5947087b16daff92f71ef1a0a465af3531c9bce92bae3fc51830
datos/LÉEME.md,md,escrito,125,4669,3c060ab9ee6831ba521b05996413b3ebf1ce269d56b2503ccfca60845aa39101
datos/asignaturas.csv,csv,escrito,5,912,ebafa9528e84920d775891fc65a228538a3fa30b2df3cded89e664fc72d7ef81
datos/dictados.csv,csv,escrito,6,175,6d6bbfad9e682c80dcf5743964985595af30c417de6d2b2c42380de1ebd42b70
datos/horario.csv,csv,escrito,10,395,ee52201cecfd7bc057ec19c8974bd54d7920b53cda8ec4a84891e660854f301a
datos/inscripciones.csv,csv,escrito,7,165,b565488d689d09e5e25f603c2d190d94e6b09e6adb5b7c71c7310a4b5dc9b48f
datos/lecturas/formulario-derivadas.txt,txt,escrito,12,1487,45072cae9791ad03f3c0463e3df375f7816070c159652c750a25503d69155299
datos/lecturas/limites-laterales.txt,txt,escrito,12,1836,2f72ec01340fce099304987d2ea3540e0567afbb0cceac5abb364ab016f395e2
datos/lecturas/roce.txt,txt,escrito,14,1995,cb25a2221828aa3cae8baf1ed2d047c49d2e4ecc6cfdd1871392e6e4a6c857e6
datos/materia.csv,csv,escrito,7,624,97cf1cee3d898d4dea94ad2ab004b59faf6b547a1ec64b409eff8467073c49e9
datos/personas.csv,csv,escrito,8,300,e09f504975ba7859e735845ccf4f3f478b7f012737edab93c9f66ba237f1bc88
documentacion/arquitectura.md,md,escrito,676,34627,9290d9e89ef408a2b531c5fe83318e8a9a171cf70d38f941cd9abb2de6a204ec
documentacion/instalar-en-tablet.md,md,escrito,138,4964,f0eae5b1ab8f84b6b87f9ed02c7eda276a224133c834ca1cffe030f5dfbe7fbd
documentacion/poner-en-marcha.md,md,escrito,423,16527,0dbfe17c83fb94db4151d26778490ec914f6829f4a4ee73568b6f0afb4aba0d4
documentacion/publicar-en-play.md,md,escrito,302,11416,cfffc5f0b2406e3b63daefaeefcccb71284cb82587341f5b9484b3fbf151c77a
documentacion/studia-spec.md,md,escrito,355,17935,7e35e66b02a463b93b3123a153a82e4486e1e8239b5152eb978615819fb48460
herramientas/accesibilidad.prueba.ts,ts,escrito,63,2567,fd5e3a7012677a88887a3ec1fe996d62f9319372dad54712f94b0b2b03ccf939
herramientas/auditar-paquete.py,py,escrito,146,6775,79a6128f9e2fbcbd02025f6371b3f98e20a469b6073c727c1d27af086650560f
herramientas/capturar-tienda.mjs,mjs,escrito,228,8898,7393e6d0793cc64e71462d121aa2f370658353c983505497ceeef5ae629c3d4c
herramientas/comprobar-servidor.mjs,mjs,escrito,214,9469,acc4f7466410172196ea9166d2849b9648614febde24ec657ae1b61e425990d4
herramientas/cruzar-consultas.mjs,mjs,escrito,394,16870,174af78a64042e6fdc0867767a9a6e2b6b328d6b10c3236eaa7dfa096489b3f6
herramientas/expediente.mjs,mjs,escrito,428,17819,24a98b772826883f449b9f85e2a64a771c3a84aebaeaceaca3054dba76e89c89
herramientas/firmar-android.mjs,mjs,escrito,100,4503,2045856874a9dbb22b01f7bcc5ed6c0fbd53493cfb6d807406e518c44a717ae3
herramientas/icono.py,py,escrito,136,5704,956f263038a0c3c6079c6901ec7fc57ccfb532530413836bb491d27ac8c4d03b
herramientas/importar.ts,ts,escrito,180,7863,7f124957aef902448fae13ff66ce2e4c3c1daef63cd9e278ea8299b78d1a9d7b
herramientas/juntar-funciones.mjs,mjs,escrito,208,8291,7ae80a3684cbb2fca5f4220c9e5259905533c3010daf78752ebad716b1a3b824
herramientas/juntar-migraciones.mjs,mjs,escrito,137,5446,eec3a6cd945d0098c485bee379fd0ca6205e1ef612221cfa9bb419258281749b
herramientas/legales.mjs,mjs,escrito,47,1859,fc296025d540908a057fd729dd588ebec26ead0c83723b4c051307945f56bb5f
herramientas/licencias.mjs,mjs,escrito,136,5339,d5f00858022807f2dd29a0fd4fdfcbece7b4de781a170a68fdfcd0ffe5320260
herramientas/paginas-legales.mjs,mjs,escrito,93,3589,557c1e85d9e090daafbb1b1142c10a0702d2302b3537d1940d26b3327eeab83a
herramientas/paginas-legales.prueba.ts,ts,escrito,41,1790,22b2c5b3bdeb006fbbb8377b70455519441ea0b535ccb3490069c7682630d7d6
herramientas/revisar-funciones-con-deno.sh,sh,escrito,64,1987,931ff2ab988e3867b3ff3b2ac220789f84c1cf5ddca2c5bc0ba4e225565553e5
herramientas/sin-datos-de-ejemplo.mjs,mjs,escrito,81,3158,2411dd94bc03b529edf7211a65702527b7a2067e8810685cb9310a47da614a5a
herramientas/web.mjs,mjs,escrito,135,6464,00a5f0188a58a3c9ceab8770ab2e03ba8178071d9fa4bfd14a28de3496bb4350
legal/privacidad.md,md,generado,107,6088,5cf8050d52d3ce73c411219a1d64072ec18880299bbbe92ddcddea078f28346e
legal/terminos.md,md,generado,95,5220,4c3c29d14511d84ff6a9bd93a5c739470ea9ab685720cc91a2cd74580e6e6e52
