paquete,licencia
expo-notifications@57.0.15,"MIT"
expo-server@57.0.3,"MIT"
expo-speech@57.0.1,"MIT"
expo-splash-screen@57.0.8,"MIT"
expo-status-bar@57.0.1,"MIT"
expo-system-ui@57.0.2,"MIT"
expo-web-browser@57.0.2,"MIT"
expo@57.0.16,"MIT"
exponential-backoff@3.1.3,"Apache-2.0"
fast-deep-equal@3.1.3,"MIT"
fast-json-stable-stringify@2.1.0,"MIT"
fb-dotslash@0.5.8,"(MIT OR Apache-2.0)"
fb-watchman@2.0.2,"Apache-2.0"
fbjs-css-vars@1.0.2,"MIT"
fbjs@3.0.5,"MIT"
fdir@6.5.0,"MIT"
fetch-nodeshim@0.4.10,"MIT"
fill-range@7.1.1,"MIT"
filter-obj@1.1.0,"MIT"
finalhandler@1.1.2,"MIT"
find-up@4.1.0,"MIT"
flow-enums-runtime@0.0.6,"MIT"
fontfaceobserver@2.3.0,"BSD-2-Clause"
form-data@4.0.6,"MIT"
fresh@0.5.2,"MIT"
fs.realpath@1.0.0,"ISC"
function-bind@1.1.2,"MIT"
gensync@1.0.0-beta.2,"MIT"
get-caller-file@2.0.5,"ISC"
get-intrinsic@1.3.0,"MIT"
get-package-type@0.1.0,"MIT"
get-proto@1.0.1,"MIT"
get-stream@6.0.1,"MIT"
getenv@2.0.0,"MIT"
glob@13.0.6,"BlueOak-1.0.0"
glob@7.2.3,"ISC"
gopd@1.2.0,"MIT"
graceful-fs@4.2.11,"ISC"
has-flag@3.0.0,"MIT"
has-flag@4.0.0,"MIT"
has-symbols@1.1.0,"MIT"
has-tostringtag@1.0.2,"MIT"
hasown@2.0.4,"MIT"
hermes-compiler@250829098.0.16,"MIT"
hermes-estree@0.35.0,"MIT"
hermes-estree@0.36.0,"MIT"
hermes-estree@0.36.1,"MIT"
hermes-parser@0.35.0,"MIT"
hermes-parser@0.36.0,"MIT"
hermes-parser@0.36.1,"MIT"
hosted-git-info@7.0.2,"ISC"
html-encoding-sniffer@3.0.0,"MIT"
html-escaper@2.0.2,"MIT"
http-errors@2.0.1,"MIT"
http-proxy-agent@5.0.0,"MIT"
https-proxy-agent@5.0.1,"MIT"
https-proxy-agent@7.0.6,"MIT"
human-signals@2.1.0,"Apache-2.0"
hyphenate-style-name@1.1.0,"BSD-3-Clause"
iceberg-js@0.8.1,"MIT"
iconv-lite@0.6.3,"MIT"
ieee754@1.2.1,"BSD-3-Clause"
ignore@5.3.2,"MIT"
import-local@3.2.0,"MIT"
imurmurhash@0.1.4,"MIT"
indent-string@4.0.0,"MIT"
inflight@1.0.6,"ISC"
inherits@2.0.4,"ISC"
inline-style-prefixer@7.0.1,"MIT"
invariant@2.2.4,"MIT"
is-arrayish@0.2.1,"MIT"
is-arrayish@0.3.4,"MIT"
is-core-module@2.16.2,"MIT"
is-docker@2.2.1,"MIT"
is-fullwidth-code-point@3.0.0,"MIT"
is-generator-fn@2.1.0,"MIT"
is-number@7.0.0,"MIT"
is-plain-obj@2.1.0,"MIT"
is-potential-custom-element-name@1.0.1,"MIT"
is-stream@2.0.1,"MIT"
is-wsl@2.2.0,"MIT"
isexe@2.0.0,"ISC"
istanbul-lib-coverage@3.2.2,"BSD-3-Clause"
istanbul-lib-instrument@5.2.1,"BSD-3-Clause"
istanbul-lib-instrument@6.0.3,"BSD-3-Clause"
istanbul-lib-report@3.0.1,"BSD-3-Clause"
istanbul-lib-source-maps@4.0.1,"BSD-3-Clause"
istanbul-reports@3.2.0,"BSD-3-Clause"
jest-changed-files@29.7.0,"MIT"
jest-circus@29.7.0,"MIT"
